Date,Open,High,Low,Close,Adj Close,Volume
2014-08-20,198.119995,199.160004,198.080002,198.919998,180.141846,72763000
2014-08-21,199.089996,199.759995,198.929993,199.500000,180.667160,67791000
2014-08-22,199.339996,199.690002,198.740005,199.190002,180.386368,76107000
2014-08-25,200.139999,200.589996,199.149994,200.199997,181.301010,63855000
2014-08-26,200.330002,200.820007,200.279999,200.330002,181.418716,47298000
2014-08-27,200.429993,200.570007,199.940002,200.250000,181.346298,47874000
2014-08-28,199.589996,200.270004,199.389999,200.139999,181.246689,58330000
2014-08-29,200.449997,200.729996,199.820007,200.710007,181.762909,65907000
2014-09-02,200.970001,201.000000,199.860001,200.610001,181.672318,72426000
2014-09-03,201.380005,201.410004,200.220001,200.500000,181.572693,57462000
2014-09-04,200.839996,201.580002,199.660004,200.210007,181.310104,85236000
2014-09-05,200.169998,201.190002,199.410004,201.110001,182.125122,102177000
2014-09-08,200.919998,201.210007,200.000000,200.589996,181.654205,64146000
2014-09-09,200.410004,200.550003,198.910004,199.320007,180.504135,88591000
2014-09-10,199.429993,200.199997,198.770004,200.070007,181.183319,67251000
2014-09-11,199.270004,200.330002,199.119995,200.300003,181.391602,66774400
2014-09-12,200.100006,200.119995,198.559998,199.130005,180.332031,117409300
2014-09-15,199.160004,199.320007,198.380005,198.979996,180.196198,76401000
2014-09-16,198.610001,200.839996,198.500000,200.479996,181.554581,116201000
2014-09-17,200.770004,201.679993,199.750000,200.750000,181.799103,151266000
2014-09-18,201.360001,201.850006,201.100006,201.820007,182.768143,94990000
2014-09-19,201.520004,201.899994,200.289993,200.699997,182.603424,121649000
2014-09-22,200.350006,200.380005,198.729996,199.149994,181.193161,125553000
2014-09-23,198.429993,199.259995,197.949997,198.009995,180.155960,111393000
2014-09-24,198.039993,199.690002,197.520004,199.559998,181.566177,107276000
2014-09-25,199.039993,199.050003,196.270004,196.339996,178.636536,150300000
2014-09-26,196.699997,198.389999,196.419998,197.899994,180.055923,103547000
2014-09-29,196.199997,197.889999,196.050003,197.539993,179.728333,95112000
2014-09-30,197.690002,198.300003,196.610001,197.020004,179.255264,131302000
2014-10-01,196.699997,196.770004,193.910004,194.350006,176.825958,177798000
2014-10-02,194.179993,195.059998,192.350006,194.380005,176.853302,157285000
2014-10-03,195.679993,196.940002,195.080002,196.520004,178.800339,121569000
2014-10-06,197.339996,197.600006,195.580002,196.289993,178.591064,104778000
2014-10-07,195.279999,195.720001,193.220001,193.259995,175.834244,147913000
2014-10-08,193.369995,196.919998,192.360001,196.639999,178.909515,186461000
2014-10-09,196.330002,196.600006,192.580002,192.740005,175.361160,210705000
2014-10-10,192.690002,193.649994,190.490005,190.539993,173.359543,221909000
2014-10-13,190.460007,191.149994,187.300003,187.410004,170.511734,230939000
2014-10-14,188.419998,189.820007,187.039993,187.699997,170.775604,215847000
2014-10-15,185.160004,187.690002,181.919998,186.429993,169.620102,380715000
2014-10-16,183.059998,187.580002,182.889999,186.270004,169.474533,270391000
2014-10-17,188.419998,189.750000,187.619995,188.470001,171.476212,214625000
2014-10-20,188.130005,190.449997,188.070007,190.300003,173.141174,130011000
2014-10-21,191.679993,194.199997,191.479996,194.070007,176.571259,154949000
2014-10-22,194.410004,194.910004,192.610001,192.690002,175.315674,151822000
2014-10-23,194.619995,196.199997,194.259995,194.929993,177.353668,154944000
2014-10-24,195.250000,196.490005,194.490005,196.429993,178.718430,117927000
2014-10-27,195.729996,196.449997,195.029999,196.160004,178.472809,82954000
2014-10-28,196.820007,198.419998,196.729996,198.410004,180.519882,106736000
2014-10-29,198.550003,199.119995,196.800003,198.110001,180.246948,142557000
2014-10-30,197.580002,199.949997,197.399994,199.380005,181.402435,113330000
2014-10-31,201.779999,201.820007,200.770004,201.660004,183.476852,146903000
2014-11-03,201.919998,202.449997,201.309998,201.770004,183.576950,93600000
2014-11-04,201.229996,201.600006,200.059998,201.070007,182.940033,93343000
2014-11-05,202.539993,202.589996,201.449997,202.339996,184.095551,91709000
2014-11-06,202.389999,203.259995,201.639999,203.149994,184.832504,107089000
2014-11-07,203.169998,203.600006,202.610001,203.339996,185.005371,89540000
2014-11-10,203.380005,204.039993,203.130005,203.979996,185.587692,66319000
2014-11-11,204.059998,204.309998,203.649994,204.179993,185.769653,54499400
2014-11-12,203.350006,204.240005,203.309998,203.960007,185.569489,90120300
2014-11-13,204.160004,204.830002,203.210007,204.190002,185.778763,85357900
2014-11-14,204.100006,204.490005,203.720001,204.240005,185.824265,80417500
2014-11-17,203.850006,204.580002,203.649994,204.369995,185.942535,80441000
2014-11-18,204.440002,205.919998,204.440002,205.550003,187.016129,76068100
2014-11-19,205.309998,205.550003,204.300003,205.220001,186.715881,82373000
2014-11-20,204.259995,205.710007,204.179993,205.580002,187.043411,72840300
2014-11-21,207.639999,207.839996,205.979996,206.679993,188.044189,142327300
2014-11-24,207.169998,207.389999,206.910004,207.259995,188.571930,65880800
2014-11-25,207.539993,207.789993,206.800003,207.110001,188.435471,79108300
2014-11-26,207.289993,207.759995,207.029999,207.639999,188.917694,62167800
2014-11-28,207.490005,207.869995,206.910004,207.199997,188.517303,57890100
2014-12-01,206.399994,206.539993,205.380005,205.759995,187.207153,103968400
2014-12-02,205.809998,207.339996,205.779999,207.089996,188.417236,74507200
